Date,Open,High,Low,Close,Adj Close,Volume
2006-01-03,34.759998,35.130001,34.48,35.07,19.748585,2203700
2006-01-04,34.919998,35.099998,34.450001,34.990002,19.703531,2337300
2006-01-05,35.040001,35.119999,34.75,34.900002,19.652855,1373200
2006-01-06,34.990002,35.099998,34.799999,35.099998,19.765476,1181400
2006-01-09,35.060001,35.080002,34.810001,34.919998,19.66411,1712500
2006-01-10,34.82,34.950001,34.75,34.869999,19.635956,1921800
2006-01-11,34.810001,34.93,34.639999,34.790001,19.590908,2042300
2006-01-12,34.790001,35.099998,34.759998,34.830002,19.613434,2264600
2006-01-13,34.849998,34.98,34.740002,34.919998,19.66411,1758200
2006-01-17,34.880001,35.110001,34.759998,35.080002,19.754213,1920900
2006-01-18,35.02,35.349998,35.02,35.16,19.799271,1934500
2006-01-19,35.169998,35.639999,35.099998,35.630001,20.063931,2323400
2006-01-20,35.630001,35.889999,34.900002,35.049999,19.737314,3248000
2006-01-23,35.0,35.349998,35.0,35.23,19.838678,1559900
2006-01-24,35.220001,35.689999,35.139999,35.580002,20.035784,2297400
2006-01-25,35.57,35.84,35.0,35.349998,19.906256,3100900
2006-01-26,35.5,35.630001,34.77,35.130001,19.782373,4299200
2006-01-27,35.0,35.639999,34.950001,35.27,19.861208,3209400
2006-01-30,35.0,35.169998,34.880001,35.09,19.759851,3572900
2006-01-31,35.139999,35.220001,34.689999,34.799999,19.596537,4185500
2006-02-01,34.68,34.849998,34.439999,34.700001,19.540234,4707100
2006-02-02,34.34,34.400002,33.48,33.75,19.211782,3814900
2006-02-03,33.720001,33.810001,33.290001,33.419998,19.023928,2838100
2006-02-06,33.27,33.57,33.23,33.450001,19.041008,1974200
2006-02-07,33.400002,33.450001,33.02,33.34,18.978392,2613200
2006-02-08,33.25,33.330002,33.099998,33.279999,18.944237,1947700
2006-02-09,33.369999,33.66,33.279999,33.380001,19.001163,2307500
2006-02-10,33.360001,33.689999,33.27,33.43,19.029619,1592200
2006-02-13,33.360001,33.610001,33.349998,33.560001,19.103628,1370300
2006-02-14,33.529999,33.700001,33.25,33.57,19.109324,1778000
2006-02-15,33.57,33.810001,33.189999,33.439999,19.035316,2483200
2006-02-16,33.349998,33.799999,33.34,33.799999,19.240244,1768000
2006-02-17,33.75,34.07,33.549999,33.860001,19.274401,1926500
2006-02-21,33.799999,34.119999,33.799999,33.959999,19.331322,1580300
2006-02-22,33.990002,34.189999,33.950001,34.110001,19.416704,1605600
2006-02-23,34.009998,34.220001,33.84,34.009998,19.359781,1469100
2006-02-24,34.060001,34.200001,33.950001,34.130001,19.428089,1205700
2006-02-27,34.119999,34.32,34.029999,34.16,19.445173,2260400
2006-02-28,34.119999,34.299999,33.919998,34.029999,19.371172,2571700
2006-03-01,34.029999,34.099998,33.900002,34.099998,19.411016,3200800
2006-03-02,34.02,34.02,33.450001,33.84,19.263006,3521900
2006-03-03,33.77,33.970001,33.529999,33.82,19.251627,3047300
2006-03-06,33.970001,33.970001,33.049999,33.299999,18.955629,2978400
2006-03-07,33.189999,33.389999,33.060001,33.330002,18.972702,1982000
2006-03-08,33.330002,33.669998,32.810001,33.360001,18.989782,3257900
2006-03-09,33.360001,33.450001,33.150002,33.169998,18.881624,1782100
2006-03-10,33.150002,33.529999,33.029999,33.27,18.938549,2066900
2006-03-13,33.389999,33.509998,33.23,33.290001,18.949932,1896600
2006-03-14,33.32,33.669998,33.099998,33.630001,19.143473,2429800
2006-03-15,33.549999,33.799999,33.380001,33.73,19.200401,1465300
2006-03-16,33.790001,34.099998,33.73,33.830002,19.257324,1984000
2006-03-17,34.0,34.029999,33.75,33.799999,19.240244,2411400
2006-03-20,33.880001,33.98,33.439999,33.540001,19.092239,1472400
2006-03-21,33.650002,33.650002,33.209999,33.43,19.029619,1620700
2006-03-22,33.369999,33.48,33.259998,33.380001,19.001163,1826900
2006-03-23,33.5,33.5,33.139999,33.23,18.915779,2666200
2006-03-24,33.150002,33.279999,32.950001,33.07,18.824699,2093800
2006-03-27,33.07,33.099998,32.889999,33.009998,18.790539,1656400
2006-03-28,32.939999,32.959999,32.619999,32.689999,18.608387,2380100
2006-03-29,32.75,33.09,32.610001,32.93,18.745005,2536500
2006-03-30,32.849998,32.990002,32.34,32.369999,18.426231,2546700
2006-03-31,32.77,33.0,32.369999,32.77,18.653931,3622800
2006-04-03,32.77,33.09,32.5,32.549999,18.52869,2554900
2006-04-04,32.599998,32.759998,32.34,32.669998,18.597,3045300
2006-04-05,32.75,33.130001,32.470001,33.119999,18.853161,3127700
2006-04-06,33.119999,33.25,32.490002,32.5,18.500233,3654300
2006-04-07,32.459999,32.529999,31.700001,31.959999,18.192846,4581400
2006-04-10,32.099998,32.23,31.799999,31.85,18.13023,1747200
2006-04-11,31.85,31.99,31.389999,31.5,17.930994,2477900
2006-04-12,31.5,31.75,31.5,31.67,18.02776,2824500
2006-04-13,31.540001,31.75,31.440001,31.450001,17.902536,2064200
2006-04-17,31.450001,31.66,31.42,31.6,17.987925,1795900
2006-04-18,31.809999,32.139999,31.610001,31.879999,18.147301,2953900
2006-04-19,31.879999,32.060001,31.57,31.91,18.164385,1737900
2006-04-20,32.07,32.490002,31.969999,32.02,18.227001,2190800
2006-04-21,32.119999,32.209999,31.709999,31.99,18.209923,2336800
2006-04-24,31.9,32.439999,31.83,32.34,18.409155,3063000
2006-04-25,32.330002,32.34,31.639999,31.709999,18.050539,3165900
2006-04-26,31.77,31.83,31.4,31.65,18.016384,2935700
2006-04-27,31.290001,32.349998,31.129999,32.07,18.482037,4357900
2006-04-28,31.879999,32.290001,31.780001,32.23,18.574244,3004500
2006-05-01,32.139999,32.450001,31.65,31.75,18.297619,2081200
2006-05-02,31.85,32.02,31.799999,31.93,18.401352,2062800
2006-05-03,31.93,32.0,31.51,31.52,18.165064,2149300
2006-05-04,31.66,31.74,31.49,31.59,18.205408,2566200
2006-05-05,31.780001,32.099998,31.690001,32.02,18.453215,2369900
2006-05-08,32.02,32.259998,31.809999,31.91,18.389826,3304900
2006-05-09,31.860001,31.940001,31.620001,31.77,18.309151,1611100
2006-05-10,31.82,32.150002,31.709999,32.09,18.493565,2336200
2006-05-11,32.009998,32.080002,31.5,31.57,18.193882,1764100
2006-05-12,31.559999,31.690001,31.09,31.139999,17.946064,2345800
2006-05-15,31.219999,31.540001,31.17,31.34,18.061335,1981400
2006-05-16,31.469999,31.5,31.24,31.24,18.003706,1447200
2006-05-17,31.85,31.85,30.48,30.49,17.571474,2987400
2006-05-18,30.5,31.040001,30.5,30.629999,17.652157,3158200
2006-05-19,30.84,31.49,30.709999,31.190001,17.974888,4071900
2006-05-22,31.01,31.950001,31.01,31.65,18.23999,4416400
2006-05-23,31.620001,31.790001,31.030001,31.120001,17.934542,2156400
2006-05-24,31.110001,31.639999,31.02,31.49,18.147781,2903400
2006-05-25,31.549999,31.780001,31.360001,31.76,18.303377,2078600
2006-05-26,31.889999,32.349998,31.610001,32.34,18.637632,2978300
2006-05-30,32.110001,32.23,31.65,31.67,18.251518,2913400
2006-05-31,31.68,32.290001,31.68,31.969999,18.424406,2519700
2006-06-01,32.119999,32.27,31.85,31.99,18.435928,3747900
2006-06-02,32.009998,32.68,31.780001,32.619999,18.798996,2748500
2006-06-05,32.610001,32.779999,32.279999,32.360001,18.649162,2352100
2006-06-06,32.59,32.59,31.84,32.369999,18.654924,3380800
2006-06-07,32.369999,32.540001,32.209999,32.360001,18.649162,2262000
2006-06-08,32.16,32.740002,32.119999,32.48,18.718315,3493900
2006-06-09,32.290001,32.799999,32.290001,32.630001,18.804764,2115500
2006-06-12,32.560001,33.040001,32.549999,32.779999,18.891207,2283100
2006-06-13,32.720001,32.919998,32.32,32.400002,18.672213,2966300
2006-06-14,32.27,32.419998,31.940001,32.25,18.585762,2497300
2006-06-15,32.470001,32.84,32.130001,32.75,18.873922,2584400
2006-06-16,32.709999,32.900002,32.389999,32.509998,18.735605,2360900
2006-06-19,32.509998,32.580002,32.060001,32.400002,18.672213,2074900
2006-06-20,32.380001,32.419998,32.0,32.119999,18.510847,2601000
2006-06-21,32.110001,32.369999,31.99,32.0,18.441694,1970200
2006-06-22,31.91,32.200001,31.75,32.130001,18.516611,2070900
2006-06-23,31.940001,32.48,31.940001,32.040001,18.464743,1545700
2006-06-26,32.0,32.259998,31.870001,32.060001,18.476267,1629400
2006-06-27,31.959999,32.189999,31.68,31.73,18.286089,2949500
2006-06-28,31.700001,31.92,31.67,31.799999,18.326429,3132200
2006-06-29,31.969999,32.07,31.65,32.0,18.441694,3985000
2006-06-30,32.099998,32.200001,31.9,32.049999,18.470509,4831100
2006-07-03,32.18,32.310001,32.009998,32.290001,18.608822,1205000
2006-07-05,32.099998,32.52,32.099998,32.360001,18.649162,2725300
2006-07-06,32.220001,32.41,32.220001,32.360001,18.649162,1896000
2006-07-07,32.400002,32.860001,32.290001,32.610001,18.793238,1938200
2006-07-10,32.599998,32.919998,32.580002,32.919998,18.971889,1193300
