Date,Open,High,Low,Close,Adj Close,Volume
2006-01-03,5.13,5.26,5.03,5.21,4.969017,2705600
2006-01-04,5.19,5.34,5.18,5.28,5.03578,2366500
2006-01-05,5.3,5.49,5.3,5.43,5.178841,2756500
2006-01-06,5.41,5.53,5.41,5.48,5.226529,2983600
2006-01-09,5.52,5.6,5.48,5.58,5.321904,2881400
2006-01-10,5.59,5.62,5.41,5.56,5.302829,3765900
2006-01-11,5.54,5.68,5.49,5.68,5.417278,3335600
2006-01-12,5.68,5.68,5.52,5.54,5.283753,2753100
2006-01-13,5.53,5.57,5.39,5.45,5.197917,2047800
2006-01-17,5.4,5.45,5.28,5.29,5.045318,2900000
2006-01-18,5.32,5.53,5.2,5.51,5.255142,4460300
2006-01-19,5.57,5.87,5.53,5.77,5.503115,5951200
2006-01-20,5.65,5.74,5.49,5.53,5.274216,3377600
2006-01-23,5.56,5.6,5.43,5.47,5.216991,2591600
2006-01-24,5.45,5.68,5.45,5.68,5.417278,4186600
2006-01-25,5.92,5.99,5.75,5.88,5.608028,6368300
2006-01-26,5.55,5.6,5.15,5.26,5.016704,12283500
2006-01-27,5.25,5.39,5.22,5.33,5.083467,4627500
2006-01-30,5.29,5.3,5.22,5.26,5.016704,4572900
2006-01-31,5.25,5.3,5.22,5.28,5.03578,3198900
2006-02-01,5.25,5.34,5.22,5.32,5.07393,2440600
2006-02-02,5.32,5.33,5.2,5.23,4.988092,2746700
2006-02-03,5.22,5.24,5.15,5.18,4.940406,1871200
2006-02-06,5.17,5.2,5.1,5.16,4.92133,2937600
2006-02-07,5.19,5.19,5.01,5.07,4.835494,3613100
2006-02-08,5.07,5.16,5.05,5.12,4.88318,3069200
2006-02-09,5.12,5.28,5.11,5.2,4.959479,3438700
2006-02-10,5.22,5.25,5.1,5.18,4.940406,2878400
2006-02-13,5.15,5.2,5.1,5.13,4.892718,2588000
2006-02-14,5.15,5.21,5.11,5.15,4.911792,2004900
2006-02-15,5.14,5.25,5.12,5.17,4.930867,1993800
2006-02-16,5.16,5.31,5.15,5.31,5.064392,2640100
2006-02-17,5.29,5.4,5.22,5.31,5.064392,2947500
2006-02-21,5.29,5.35,5.25,5.26,5.016704,2293600
2006-02-22,5.26,5.42,5.25,5.4,5.15023,2988200
2006-02-23,5.41,5.48,5.32,5.4,5.15023,4541000
2006-02-24,5.36,5.43,5.3,5.32,5.07393,3249800
2006-02-27,5.31,5.37,5.3,5.33,5.083467,2021400
2006-02-28,5.34,5.35,5.25,5.26,5.016704,2266800
2006-03-01,5.27,5.46,5.25,5.44,5.18838,2166600
2006-03-02,5.43,5.44,5.33,5.42,5.169304,3224700
2006-03-03,5.4,5.72,5.35,5.6,5.340978,5865900
2006-03-06,5.66,5.74,5.46,5.51,5.255142,3018200
2006-03-07,5.5,5.51,5.38,5.41,5.159766,1549200
2006-03-08,5.41,5.49,5.33,5.45,5.197917,1947800
2006-03-09,5.41,5.57,5.36,5.42,5.169304,3768500
2006-03-10,5.39,5.6,5.37,5.5,5.245604,2594000
2006-03-13,5.52,5.65,5.48,5.51,5.255142,2170600
2006-03-14,5.48,5.69,5.47,5.64,5.379128,3770000
2006-03-15,5.64,5.96,5.64,5.9,5.627103,6405300
2006-03-16,5.88,6.11,5.77,5.82,5.550803,4727900
2006-03-17,5.85,5.91,5.73,5.9,5.627103,5171200
2006-03-20,5.88,5.96,5.87,5.89,5.617565,2214800
2006-03-21,6.0,6.21,5.9,6.0,5.722477,5541900
2006-03-22,5.98,6.11,5.96,6.05,5.770164,4674800
2006-03-23,6.09,6.12,5.94,6.0,5.722477,3558900
2006-03-24,6.01,6.43,5.98,6.42,6.123051,7786600
2006-03-27,6.54,6.83,6.54,6.75,6.437787,10150800
2006-03-28,6.78,6.89,6.63,6.68,6.371026,5574400
2006-03-29,6.73,6.85,6.7,6.83,6.514086,3898200
2006-03-30,7.07,7.09,6.8,6.96,6.638072,7859300
2006-03-31,6.97,7.01,6.7,6.78,6.466399,4393700
2006-04-03,6.91,7.3,6.9,7.2,6.866971,10650900
2006-04-04,7.21,7.35,7.16,7.19,6.857434,5192200
2006-04-05,7.15,7.29,7.05,7.27,6.933734,3867000
2006-04-06,7.27,7.38,7.19,7.35,7.010033,2119700
2006-04-07,7.35,7.37,7.13,7.27,6.933734,5537600
2006-04-10,7.24,7.26,7.01,7.18,6.847898,2879800
2006-04-11,7.22,7.3,7.1,7.19,6.857434,3545900
2006-04-12,7.17,7.3,7.14,7.23,6.895585,1987900
2006-04-13,7.22,7.4,7.17,7.38,7.038646,1537100
2006-04-17,7.37,7.59,7.26,7.35,7.010033,4583000
2006-04-18,7.33,7.75,7.32,7.64,7.28662,5551600
2006-04-19,7.62,7.9,7.45,7.73,7.372458,5633300
2006-04-20,7.85,8.0,7.71,7.87,7.505983,5855400
2006-04-21,7.9,7.95,7.6,7.72,7.362921,3654600
2006-04-24,7.45,7.67,7.23,7.64,7.28662,8593900
2006-04-25,7.23,7.28,6.91,7.27,6.933734,9568000
2006-04-26,7.25,7.46,7.25,7.44,7.095871,5420700
2006-04-27,7.39,7.51,7.27,7.36,7.019572,4143400
2006-04-28,7.34,7.46,7.14,7.14,6.809748,4647700
2006-05-01,7.13,7.34,7.13,7.21,6.87651,2797200
2006-05-02,7.2,7.3,7.16,7.2,6.866971,2033700
2006-05-03,7.2,7.25,7.1,7.23,6.895585,1764200
2006-05-04,7.18,7.32,7.18,7.3,6.962348,1304800
2006-05-05,7.29,7.36,7.22,7.22,6.886047,1531900
2006-05-08,7.17,7.23,7.01,7.05,6.723911,3251000
2006-05-09,7.01,7.03,6.89,6.93,6.609461,2308700
2006-05-10,6.88,6.94,6.73,6.76,6.447325,2141500
2006-05-11,6.75,6.82,6.54,6.55,6.247038,3203900
2006-05-12,6.41,6.52,6.22,6.39,6.094437,3807200
2006-05-15,6.35,6.52,6.14,6.19,5.903688,3220000
2006-05-16,6.23,6.35,6.12,6.16,5.875076,2034600
2006-05-17,6.12,6.21,5.81,5.84,5.569879,4602800
2006-05-18,5.93,6.01,5.69,5.73,5.464966,2802800
2006-05-19,5.75,5.84,5.63,5.79,5.52219,2377600
2006-05-22,5.75,5.83,5.42,5.43,5.178841,7445500
2006-05-23,5.59,5.75,5.4,5.44,5.18838,5670400
2006-05-24,5.48,5.57,5.35,5.52,5.264678,5869100
2006-05-25,5.62,5.75,5.52,5.73,5.464966,3866600
2006-05-26,5.75,5.84,5.63,5.71,5.445891,2379500
2006-05-30,5.74,5.74,5.59,5.61,5.350517,2090500
2006-05-31,5.64,5.73,5.46,5.66,5.398202,3076500
2006-06-01,5.64,6.02,5.64,6.02,5.741551,3451000
2006-06-02,6.09,6.11,5.95,6.06,5.779702,4301200
2006-06-05,6.08,6.08,5.81,5.83,5.560339,3290000
2006-06-06,5.98,5.98,5.69,5.81,5.541265,4976800
2006-06-07,5.81,5.93,5.71,5.73,5.464966,2992100
2006-06-08,5.69,5.74,5.5,5.65,5.388666,6889200
2006-06-09,5.7,5.88,5.69,5.71,5.445891,2982900
2006-06-12,5.67,5.75,5.41,5.42,5.169304,3834300
2006-06-13,5.39,5.57,5.32,5.34,5.093005,3705300
2006-06-14,5.35,5.57,5.35,5.5,5.245604,2566800
2006-06-15,5.51,6.01,5.51,5.8,5.531729,5490100
2006-06-16,5.79,5.79,5.43,5.45,5.197917,6835500
2006-06-19,5.49,5.52,5.36,5.44,5.18838,2906700
2006-06-20,5.43,5.5,5.32,5.33,5.083467,2135200
2006-06-21,5.34,5.62,5.23,5.62,5.360053,8583900
2006-06-22,5.6,5.63,5.37,5.42,5.169304,3363600
2006-06-23,5.4,5.58,5.33,5.48,5.226529,2781100
2006-06-26,5.47,5.65,5.42,5.63,5.369591,2228200
2006-06-27,5.61,5.73,5.41,5.47,5.216991,2763600
2006-06-28,5.46,5.49,5.15,5.28,5.03578,4076400
2006-06-29,5.31,5.53,5.23,5.51,5.255142,3203200
2006-06-30,5.51,5.53,5.36,5.51,5.255142,2598300
2006-07-03,5.44,5.51,5.41,5.48,5.226529,822000
2006-07-05,5.4,5.5,5.38,5.44,5.18838,1514200
2006-07-06,5.44,5.55,5.4,5.41,5.159766,2844400
2006-07-07,5.4,5.43,5.07,5.16,4.92133,4798100
2006-07-10,5.2,5.22,4.94,4.96,4.730581,3950000
2006-07-11,4.97,5.12,4.87,5.11,4.873643,4401900
2006-07-12,5.07,5.16,4.85,4.86,4.635206,3745900
2006-07-13,4.81,4.86,4.59,4.65,4.43492,7202200
2006-07-14,4.64,4.81,4.62,4.78,4.558907,3476700
2006-07-17,4.8,4.89,4.69,4.69,4.47307,2225600
2006-07-18,4.74,4.78,4.51,4.64,4.425381,4588800
2006-07-19,4.67,4.72,4.59,4.64,4.425381,5407700
2006-07-20,4.99,5.17,4.46,4.55,4.339545,11634000
2006-07-21,4.07,4.25,4.04,4.1,3.91036,12357400
2006-07-24,4.15,4.22,4.03,4.07,3.881747,6278900
2006-07-25,4.18,4.28,4.09,4.19,3.996196,4807200
2006-07-26,4.16,4.45,4.14,4.41,4.20602,5591700
2006-07-27,4.45,4.47,4.19,4.21,4.015271,2970800
2006-07-28,4.23,4.41,4.2,4.39,4.186944,3402400
2006-07-31,4.44,4.45,4.3,4.39,4.186944,3586700
2006-08-01,4.35,4.4,4.21,4.24,4.043884,2270300
2006-08-02,4.24,4.41,4.23,4.4,4.196484,3539200
2006-08-03,4.35,4.48,4.28,4.47,4.263245,5261200
2006-08-04,4.5,4.54,4.25,4.44,4.234633,4914700
2006-08-07,4.4,4.5,4.31,4.41,4.20602,2049100
2006-08-08,4.41,4.47,4.35,4.37,4.167871,2200300
2006-08-09,4.46,4.5,4.27,4.29,4.09157,2833500
2006-08-10,4.28,4.4,4.22,4.35,4.148795,1532400
2006-08-11,4.32,4.35,4.16,4.23,4.034347,2165400
2006-08-14,4.27,4.42,4.26,4.36,4.158333,2307600
2006-08-15,4.42,4.55,4.4,4.55,4.339545,1899500
2006-08-16,4.58,4.71,4.46,4.69,4.47307,2779400
2006-08-17,4.65,4.78,4.59,4.65,4.43492,3422000
2006-08-18,4.65,4.69,4.5,4.65,4.43492,2491400
2006-08-21,4.62,4.62,4.46,4.55,4.339545,1547200
2006-08-22,4.52,4.59,4.45,4.49,4.28232,2141300
2006-08-23,4.48,4.55,4.32,4.35,4.148795,2889700
2006-08-24,4.35,4.39,4.28,4.38,4.177408,2058900
2006-08-25,4.37,4.54,4.37,4.52,4.310933,3104100
2006-08-28,4.55,4.62,4.49,4.6,4.387233,1859600
2006-08-29,4.62,4.76,4.51,4.74,4.520757,3562500
2006-08-30,4.76,4.78,4.63,4.72,4.501682,2982500
2006-08-31,4.73,4.75,4.6,4.63,4.415845,2793800
2006-09-01,4.67,5.0,4.58,4.91,4.682893,4019600
