Date,Open,High,Low,Close,Adj Close,Volume
2006-01-03,19.65,19.700001,19.110001,19.459999,14.868949,381900
2006-01-04,19.49,20.0,19.48,19.889999,15.197503,206100
2006-01-05,19.889999,20.48,19.799999,20.469999,15.640671,257200
2006-01-06,20.4,20.469999,20.299999,20.32,15.52606,155800
2006-01-09,20.48,20.48,20.059999,20.18,15.419088,95200
2006-01-10,20.200001,20.48,20.1,20.48,15.648314,106400
2006-01-11,20.4,20.790001,20.18,20.76,15.862255,219700
2006-01-12,20.540001,20.58,20.059999,20.110001,15.365602,154900
2006-01-13,20.049999,20.309999,19.870001,20.309999,15.51842,125600
2006-01-17,19.99,20.15,19.6,19.950001,15.243353,173000
2006-01-18,19.549999,19.700001,18.540001,19.209999,14.677931,617200
2006-01-19,19.209999,19.65,19.15,19.549999,14.937718,179900
2006-01-20,19.59,19.860001,19.32,19.84,15.159304,249600
2006-01-23,19.85,19.85,19.6,19.77,15.105816,109500
2006-01-24,19.549999,19.84,19.52,19.74,15.082893,143900
2006-01-25,19.59,19.84,19.4,19.620001,14.991202,216700
2006-01-26,19.379999,19.73,19.280001,19.639999,15.006485,92500
2006-01-27,19.629999,19.74,19.25,19.719999,15.067615,150500
2006-01-30,19.620001,19.709999,19.25,19.32,14.761975,155300
2006-01-31,19.25,19.66,19.15,19.629999,14.998846,150600
2006-02-01,19.530001,20.0,19.5,19.93,15.228071,189100
2006-02-02,19.75,19.780001,19.450001,19.51,14.907155,129900
2006-02-03,19.26,19.700001,19.26,19.450001,14.861312,221400
2006-02-06,19.450001,20.129999,19.43,20.0,15.281557,281400
2006-02-07,19.860001,20.0,19.5,19.59,14.968277,92800
2006-02-08,19.5,19.68,19.48,19.65,15.014128,64900
2006-02-09,19.540001,19.66,19.49,19.49,14.89187,171900
2006-02-10,19.49,19.620001,19.469999,19.5,14.899518,159000
2006-02-13,19.58,19.870001,19.43,19.809999,15.136379,260500
2006-02-14,19.719999,19.99,19.469999,19.5,14.899518,183000
2006-02-15,19.48,19.860001,19.48,19.74,15.082893,96000
2006-02-16,19.67,19.99,19.6,19.950001,15.243353,88200
2006-02-17,19.879999,19.879999,19.540001,19.6,14.975923,105300
2006-02-21,19.620001,19.68,19.51,19.6,14.975923,82400
2006-02-22,19.5,19.9,19.5,19.889999,15.197503,89100
2006-02-23,19.85,19.950001,19.68,19.85,15.166945,94500
2006-02-24,19.889999,19.9,19.76,19.870001,15.182226,84100
2006-02-27,20.0,20.18,19.9,19.950001,15.243353,186900
2006-02-28,19.790001,19.860001,19.530001,19.6,14.975923,160500
2006-03-01,19.719999,19.75,19.610001,19.73,15.07525,109400
2006-03-02,19.629999,19.889999,19.52,19.85,15.166945,214300
2006-03-03,19.77,19.85,19.75,19.84,15.159304,108000
2006-03-06,19.780001,19.84,19.68,19.76,15.09818,173000
2006-03-07,19.75,19.83,19.68,19.82,15.144023,167300
2006-03-08,19.700001,19.84,19.66,19.700001,15.052337,112100
2006-03-09,19.6,19.790001,19.5,19.66,15.02177,98000
2006-03-10,19.6,19.9,19.6,19.85,15.166945,106700
2006-03-13,19.75,19.860001,19.700001,19.790001,15.121103,78900
2006-03-14,19.75,19.9,19.700001,19.84,15.159304,112000
2006-03-15,19.809999,19.889999,19.75,19.879999,15.189864,54000
2006-03-16,19.82,20.1,19.809999,20.07,15.335041,105800
2006-03-17,20.07,20.200001,19.950001,20.07,15.335041,41400
2006-03-20,19.99,20.219999,19.860001,19.9,15.20514,125000
2006-03-21,19.84,20.040001,19.639999,20.0,15.327768,157300
2006-03-22,19.93,19.950001,19.690001,19.860001,15.220471,111900
2006-03-23,19.799999,20.08,19.799999,20.040001,15.358418,69200
2006-03-24,19.98,20.190001,19.98,20.08,15.389081,65700
2006-03-27,19.99,20.1,19.799999,20.01,15.335431,83800
2006-03-28,19.9,20.0,19.75,19.870001,15.228138,100200
2006-03-29,19.91,20.17,19.799999,19.99,15.320101,103200
2006-03-30,19.75,20.110001,19.73,19.99,15.320101,174500
2006-03-31,20.030001,20.059999,19.799999,19.92,15.266463,129400
2006-04-03,20.0,20.190001,19.809999,20.0,15.327768,124300
2006-04-04,20.110001,20.290001,20.0,20.040001,15.358418,145200
2006-04-05,20.1,20.129999,19.75,20.110001,15.412076,133500
2006-04-06,20.139999,20.139999,19.879999,20.040001,15.358418,114300
2006-04-07,20.040001,20.1,19.870001,19.959999,15.29711,98100
2006-04-10,20.040001,20.23,19.83,19.889999,15.243463,81900
2006-04-11,19.84,19.84,19.5,19.51,14.95224,227600
2006-04-12,19.530001,19.66,19.450001,19.5,14.944575,62800
2006-04-13,19.440001,19.6,19.440001,19.6,15.021211,89700
2006-04-17,19.52,19.940001,19.5,19.5,14.944575,96300
2006-04-18,19.469999,20.02,19.450001,20.01,15.335431,239400
2006-04-19,20.209999,20.280001,19.6,19.67,15.07486,356900
2006-04-20,20.0,20.65,20.0,20.610001,15.79526,473000
2006-04-21,20.6,20.76,20.33,20.42,15.649655,181800
2006-04-24,20.469999,20.48,20.1,20.190001,15.473388,127400
2006-04-25,20.110001,20.280001,19.940001,20.09,15.396749,121200
2006-04-26,19.98,20.440001,19.98,20.33,15.580678,125000
2006-04-27,20.1,20.200001,19.9,20.07,15.381413,84400
2006-04-28,19.9,20.129999,19.9,20.030001,15.35076,126600
2006-05-01,20.040001,20.360001,19.940001,20.1,15.40441,206000
2006-05-02,20.059999,20.09,19.84,19.889999,15.243463,168400
2006-05-03,19.82,20.219999,19.82,20.030001,15.35076,147600
2006-05-04,19.98,20.17,19.9,20.07,15.381413,95200
2006-05-05,20.120001,20.190001,20.01,20.16,15.450393,68600
2006-05-08,19.950001,20.25,19.9,20.08,15.389081,68200
2006-05-09,20.040001,20.07,19.85,19.9,15.25113,88900
2006-05-10,19.83,20.040001,19.68,19.950001,15.289445,93100
2006-05-11,19.870001,19.870001,19.0,19.1,14.638018,216600
2006-05-12,19.049999,19.299999,19.0,19.07,14.615022,113200
2006-05-15,19.110001,19.27,19.02,19.219999,14.72998,90900
2006-05-16,19.200001,19.280001,19.049999,19.17,14.691663,80800
2006-05-17,19.110001,19.299999,18.82,18.83,14.431094,135800
2006-05-18,18.959999,18.959999,18.780001,18.809999,14.415769,61400
2006-05-19,18.91,19.200001,18.799999,19.049999,14.599701,98900
2006-05-22,19.02,19.030001,18.629999,18.68,14.316137,159200
2006-05-23,18.77,18.85,18.129999,18.129999,13.894621,259000
2006-05-24,18.09,18.43,17.92,18.27,14.001919,170800
2006-05-25,18.48,18.540001,18.25,18.469999,14.155195,118400
2006-05-26,18.469999,18.48,18.23,18.23,13.971258,108700
2006-05-30,18.25,18.34,18.059999,18.16,13.917615,121000
2006-05-31,18.209999,18.27,18.0,18.07,13.84864,164000
2006-06-01,18.0,18.610001,17.99,18.43,14.12454,155700
2006-06-02,18.629999,18.879999,18.33,18.719999,14.346791,188900
2006-06-05,18.73,18.799999,18.5,18.52,14.193512,89900
2006-06-06,18.57,18.91,18.49,18.77,14.38511,194300
2006-06-07,18.85,18.879999,18.5,18.6,14.254823,92900
2006-06-08,18.370001,18.700001,18.35,18.6,14.254823,128000
2006-06-09,18.58,18.690001,18.4,18.5,14.178183,74900
2006-06-12,18.459999,18.57,18.290001,18.290001,14.017242,105900
2006-06-13,18.15,18.5,18.139999,18.200001,13.948271,137300
2006-06-14,18.059999,18.33,18.059999,18.219999,13.963596,101900
2006-06-15,18.25,18.450001,18.25,18.32,14.040237,55100
2006-06-16,18.32,18.91,18.32,18.790001,14.400444,117200
2006-06-19,18.9,18.92,18.6,18.65,14.293144,88200
2006-06-20,18.59,18.59,18.26,18.33,14.100824,70700
2006-06-21,18.530001,19.110001,18.530001,18.93,14.562393,140900
2006-06-22,18.85,18.950001,18.639999,18.76,14.43161,116700
2006-06-23,18.76,19.209999,18.41,19.110001,14.700857,99900
2006-06-26,19.110001,19.299999,18.99,19.059999,14.662401,200200
2006-06-27,19.129999,19.25,18.860001,18.860001,14.508539,36100
2006-06-28,18.879999,19.15,18.879999,18.91,14.547002,50100
2006-06-29,18.889999,19.48,18.889999,19.25,14.808561,102500
2006-06-30,19.219999,19.5,19.120001,19.25,14.808561,177500
2006-07-03,19.35,19.879999,19.200001,19.76,15.200895,94500
2006-07-05,19.860001,19.870001,18.99,19.08,14.677784,139000
2006-07-06,19.0,19.24,18.65,18.93,14.562393,265800
2006-07-07,18.879999,19.0,18.75,18.959999,14.585468,75800
2006-07-10,18.940001,18.940001,18.540001,18.66,14.354683,78800
2006-07-11,18.549999,18.709999,18.51,18.700001,14.385459,74100
2006-07-12,18.620001,18.84,18.459999,18.629999,14.331612,68200
2006-07-13,18.5,18.75,18.25,18.41,14.162369,78700
2006-07-14,18.32,18.540001,18.26,18.41,14.162369,88000
2006-07-17,18.309999,18.85,18.309999,18.799999,14.462385,301400
2006-07-18,18.719999,18.719999,17.870001,18.309999,14.085439,230500
2006-07-19,19.16,20.9,19.0,20.26,15.585526,643200
2006-07-20,20.17,20.280001,20.0,20.23,15.56245,209900
2006-07-21,20.190001,20.299999,20.09,20.200001,15.539377,137600
2006-07-24,20.16,20.309999,19.950001,20.25,15.577835,170000
2006-07-25,20.1,20.459999,20.07,20.450001,15.731693,155100
2006-07-26,20.299999,20.68,20.299999,20.559999,15.81631,131700
2006-07-27,20.610001,20.940001,20.43,20.610001,15.854772,184400
2006-07-28,20.639999,20.98,20.639999,20.98,16.139408,114400
2006-07-31,20.93,21.07,20.879999,21.02,16.170183,139900
2006-08-01,20.92,21.299999,20.9,21.07,16.208643,175800
2006-08-02,21.07,21.450001,21.07,21.299999,16.385574,138400
2006-08-03,21.110001,21.75,21.110001,21.66,16.662516,123200
2006-08-04,21.610001,21.809999,21.16,21.360001,16.43173,128200
2006-08-07,21.200001,21.530001,21.200001,21.450001,16.500971,119500
2006-08-08,21.43,21.65,21.379999,21.51,16.547115,87900
2006-08-09,21.610001,21.74,21.6,21.639999,16.647125,123000
2006-08-10,21.59,21.77,21.459999,21.709999,16.700977,111700
2006-08-11,21.549999,21.74,21.52,21.59,16.60866,52900
2006-08-14,21.51,22.0,21.48,22.0,16.924068,130700
2006-08-15,22.0,22.690001,21.99,22.360001,17.201002,81100
2006-08-16,22.309999,22.75,22.219999,22.610001,17.393324,121700
2006-08-17,22.41,22.9,22.309999,22.42,17.247162,157600
2006-08-18,22.27,22.84,22.219999,22.84,17.570265,112300
2006-08-21,22.450001,22.780001,22.4,22.549999,17.347174,114000
2006-08-22,22.540001,22.82,22.540001,22.809999,17.54718,83900
