Date,Open,High,Low,Close,Adj Close,Volume
2006-01-03,23.375,23.455,23.094999,23.450001,22.003847,1183200
2006-01-04,23.450001,23.725,23.215,23.525,22.074221,1324200
2006-01-05,23.525,23.615,23.35,23.57,22.116447,1180600
2006-01-06,23.625,23.77,23.525,23.66,22.200899,606000
2006-01-09,23.66,23.77,23.525,23.58,22.125818,739200
2006-01-10,23.434999,23.440001,22.535,22.665001,21.26725,3326400
2006-01-11,22.665001,22.875,22.610001,22.785,21.37985,1339600
2006-01-12,22.705,23.065001,22.549999,22.635,21.239105,1228400
2006-01-13,24.0,24.02,22.98,23.299999,21.863091,1480800
2006-01-17,23.309999,23.434999,22.985001,23.385,21.942852,990000
2006-01-18,23.385,23.645,23.205,23.215,21.783329,1122600
2006-01-19,23.25,23.325001,22.959999,23.139999,21.712969,894000
2006-01-20,23.004999,23.219999,22.85,23.0,21.581591,1621400
2006-01-23,23.5,23.6,23.09,23.264999,21.830254,1629000
2006-01-24,23.389999,23.555,23.219999,23.475,22.0273,1000200
2006-01-25,23.635,23.639999,23.01,23.075001,21.651968,2490600
2006-01-26,23.125,23.545,23.125,23.440001,21.994467,1197400
2006-01-27,23.565001,24.275,23.48,24.02,22.538689,1581800
2006-01-30,24.0,24.049999,23.75,23.799999,22.33226,849600
2006-01-31,23.174999,24.264999,23.15,23.754999,22.29003,5789000
2006-02-01,24.190001,24.934999,24.035,24.844999,23.312809,3294600
2006-02-02,24.65,24.959999,24.625,24.75,23.223673,2821000
2006-02-03,24.75,24.75,24.325001,24.334999,22.834267,1752600
2006-02-06,24.365,24.93,24.094999,24.85,23.317503,2051800
2006-02-07,24.799999,25.195,24.764999,24.879999,23.345652,1295000
2006-02-08,24.885,25.025,24.65,24.945,23.406645,1590400
2006-02-09,24.93,25.1,24.785,24.834999,23.303427,1048200
2006-02-10,24.834999,24.84,24.4,24.77,23.242435,1421600
2006-02-13,24.799999,24.799999,24.465,24.674999,23.153296,1171400
2006-02-14,24.605,24.780001,24.525,24.705,23.181456,1053800
2006-02-15,24.775,25.469999,24.75,25.469999,23.899275,1517000
2006-02-16,25.465,25.674999,25.35,25.58,24.002485,1409200
2006-02-17,25.615,25.709999,25.455,25.59,24.011862,880400
2006-02-21,25.594999,25.66,25.275,25.52,23.946192,903400
2006-02-22,25.52,25.684999,25.254999,25.4,23.83359,878000
2006-02-23,25.360001,25.49,25.014999,25.459999,23.889898,880400
2006-02-24,25.450001,25.450001,25.07,25.375,23.810129,911400
2006-02-27,25.375,25.66,25.299999,25.655001,24.110872,1018800
2006-02-28,25.655001,25.83,24.940001,25.115,23.603376,1713200
2006-03-01,25.094999,25.465,25.075001,25.275,23.753738,1078000
2006-03-02,25.174999,25.27,25.0,25.16,23.645658,754200
2006-03-03,25.135,25.370001,24.865,25.02,23.51409,764400
2006-03-06,25.01,25.040001,24.805,24.959999,23.457695,906400
2006-03-07,24.775,24.924999,24.535,24.639999,23.156961,1045400
2006-03-08,24.68,25.115,24.52,25.004999,23.499987,695200
2006-03-09,25.004999,25.02,24.285,24.370001,22.903215,1301200
2006-03-10,24.415001,24.73,24.290001,24.555,23.077076,657000
2006-03-13,24.620001,24.799999,24.469999,24.565001,23.086473,798600
2006-03-14,24.6,24.719999,24.455,24.645,23.161663,566600
2006-03-15,24.655001,24.780001,24.025,24.025,22.578974,3512200
2006-03-16,24.049999,24.610001,23.945,24.295,22.832729,1015800
2006-03-17,24.295,24.415001,24.094999,24.290001,22.828024,699600
2006-03-20,24.290001,24.594999,24.25,24.34,22.875017,966000
2006-03-21,24.360001,24.535,24.17,24.26,22.799829,862400
2006-03-22,24.264999,24.745001,24.264999,24.66,23.175756,1034800
2006-03-23,24.66,24.705,24.440001,24.559999,23.081781,1413600
2006-03-24,24.620001,24.99,24.620001,24.93,23.429506,1170000
2006-03-27,24.985001,25.040001,24.855,24.975,23.471802,601400
2006-03-28,24.9,25.030001,24.709999,24.73,23.241545,926400
2006-03-29,24.67,25.16,24.67,25.125,23.612772,1185800
2006-03-30,25.049999,25.76,24.93,25.514999,23.97929,2636200
2006-03-31,25.555,25.594999,25.299999,25.395,23.866514,1343200
2006-04-03,25.33,25.605,25.075001,25.174999,23.659761,1458600
2006-04-04,25.15,25.219999,24.860001,25.0,23.495295,989200
2006-04-05,24.995001,25.09,24.85,24.985001,23.481192,617000
2006-04-06,24.950001,25.25,24.695,24.805,23.312023,493000
2006-04-07,24.905001,25.225,24.58,24.59,23.109972,1085600
2006-04-10,24.6,24.629999,24.165001,24.365,22.898521,1335400
2006-04-11,24.5,24.545,24.139999,24.25,22.790432,887800
2006-04-12,24.275,24.6,24.275,24.6,23.119368,646200
2006-04-13,24.629999,24.76,24.495001,24.545,23.067677,771800
2006-04-17,24.42,24.49,24.145,24.355,22.889112,664000
2006-04-18,24.360001,24.625,24.200001,24.5,23.025385,966800
2006-04-19,24.530001,24.605,24.365,24.57,23.091173,892000
2006-04-20,24.540001,24.75,24.42,24.625,23.142864,871800
2006-04-21,24.655001,24.725,24.389999,24.559999,23.081781,476200
