Date,Open,High,Low,Close,Adj Close,Volume
2006-01-03,21.99,21.99,21.02,21.559999,18.307697,9845300
2006-01-04,21.450001,21.540001,21.059999,21.1,17.917089,7934200
2006-01-05,21.07,21.58,21.040001,21.290001,18.078426,6591800
2006-01-06,21.35,21.530001,20.75,20.959999,17.798206,10431000
2006-01-09,20.83,21.620001,20.799999,21.59,18.333172,5017200
2006-01-10,21.58,21.91,21.370001,21.879999,18.579424,4812100
2006-01-11,21.969999,22.139999,21.629999,21.9,18.596409,6293800
2006-01-12,21.9,22.040001,21.639999,21.870001,18.570934,2759800
2006-01-13,21.799999,21.82,21.540001,21.790001,18.503002,2132400
2006-01-17,21.65,22.049999,21.5,22.040001,18.71529,3938900
2006-01-18,21.75,22.15,21.73,22.030001,18.706799,2778800
2006-01-19,22.17,22.48,22.09,22.4,19.020985,3461900
2006-01-20,22.299999,22.4,21.6,21.809999,18.519985,5816600
2006-01-23,21.9,21.950001,21.41,21.469999,18.231274,2685700
2006-01-24,21.469999,21.629999,21.040001,21.26,18.052952,3532000
2006-01-25,21.27,21.450001,20.91,21.129999,17.942562,3100900
2006-01-26,22.280001,23.25,21.9,22.709999,19.284222,14761900
2006-01-27,21.799999,22.68,21.690001,22.549999,19.148355,10522000
2006-01-30,22.620001,23.120001,22.5,23.040001,19.564442,9252900
2006-01-31,23.35,23.950001,23.309999,23.75,20.167337,52940200
2006-02-01,23.530001,24.139999,23.450001,23.91,20.303204,8575000
2006-02-02,23.67,23.84,23.43,23.58,20.022984,6041300
2006-02-03,23.370001,23.469999,23.01,23.290001,19.776731,7057400
2006-02-06,23.290001,23.790001,23.219999,23.65,20.082422,5935400
2006-02-07,23.469999,23.709999,23.34,23.67,20.099405,4185200
2006-02-08,23.65,23.98,23.51,23.9,20.294712,3622300
2006-02-09,23.700001,24.01,23.549999,23.73,20.150354,3619400
2006-02-10,23.73,23.809999,23.440001,23.700001,20.124882,2954700
2006-02-13,23.34,23.950001,23.34,23.940001,20.328678,3031700
2006-02-14,23.85,24.58,23.65,24.309999,20.642862,5933300
2006-02-15,24.299999,24.77,24.16,24.77,21.033472,3930800
2006-02-16,24.57,25.0,24.5,24.77,21.033472,5148800
2006-02-17,24.610001,24.82,24.49,24.57,20.863642,2338600
2006-02-21,24.5,24.559999,24.059999,24.17,20.523981,2920100
2006-02-22,24.08,24.610001,23.98,24.5,20.804203,2441100
2006-02-23,24.280001,24.82,24.209999,24.59,20.880627,2661800
2006-02-24,24.51,24.67,24.32,24.59,20.880627,1588000
2006-02-27,24.110001,24.34,23.790001,24.049999,20.422083,5220600
2006-02-28,23.9,23.969999,23.549999,23.66,20.090914,4473100
2006-03-01,23.66,24.0,23.52,23.809999,20.218287,5275700
2006-03-02,23.629999,24.09,23.629999,23.709999,20.133371,3194900
2006-03-03,23.620001,23.809999,23.389999,23.68,20.107899,3504100
2006-03-06,23.65,23.65,23.040001,23.24,19.734272,5341200
2006-03-07,23.08,23.389999,22.76,23.24,19.734272,4106500
2006-03-08,23.27,23.48,23.07,23.27,19.759747,2374100
2006-03-09,23.34,23.450001,23.25,23.27,19.759747,4363500
2006-03-10,23.26,23.33,23.01,23.139999,19.649355,1983400
2006-03-13,23.1,23.34,22.74,22.9,19.44556,2675100
2006-03-14,22.690001,23.0,22.67,22.889999,19.437069,3186200
2006-03-15,22.870001,22.93,22.48,22.82,19.377628,3448700
2006-03-16,22.75,23.18,22.709999,23.0,19.530476,4676200
2006-03-17,23.120001,23.530001,23.0,23.219999,19.717287,5342500
2006-03-20,23.34,23.73,23.26,23.459999,19.921083,2161300
2006-03-21,23.42,23.889999,23.24,23.42,19.887119,2666100
2006-03-22,23.25,24.059999,23.25,23.9,20.294712,4035000
2006-03-23,23.799999,23.84,23.440001,23.58,20.022984,3196800
2006-03-24,23.629999,23.73,23.24,23.530001,19.980526,2106800
2006-03-27,23.58,23.799999,23.379999,23.5,19.955051,1322100
2006-03-28,23.5,23.93,23.41,23.530001,19.980526,2209900
2006-03-29,23.629999,23.67,23.27,23.530001,19.980526,2619200
2006-03-30,23.5,24.5,23.42,24.209999,20.557947,6813700
2006-03-31,24.379999,24.379999,23.83,23.99,20.371136,2364300
2006-04-03,24.01,24.1,23.690001,23.76,20.175829,2139500
2006-04-04,23.879999,24.32,23.84,24.040001,20.413593,1923100
2006-04-05,24.120001,24.799999,24.1,24.52,20.821186,3418600
2006-04-06,24.559999,25.16,24.41,24.860001,21.109896,3697300
