Date,Open,High,Low,Close,Adj Close,Volume
2006-01-03,83.940002,83.940002,81.059998,82.669998,62.050659,942000
2006-01-04,83.0,83.5,82.099998,83.050003,62.335854,645100
2006-01-05,83.150002,83.400002,82.0,83.18,62.43346,736500
2006-01-06,83.900002,83.980003,82.879997,83.68,62.808754,556300
2006-01-09,83.75,85.309998,83.690002,84.989998,63.792015,611100
2006-01-10,84.150002,84.150002,81.879997,83.099998,62.373413,1075900
2006-01-11,83.349998,83.730003,82.599998,83.050003,62.335854,631800
2006-01-12,83.050003,84.239998,81.699997,81.879997,61.457706,930900
2006-01-13,81.879997,82.489998,80.010002,81.18,60.932297,1060300
2006-01-17,80.400002,81.75,80.25,81.449997,61.134945,624300
2006-01-18,81.139999,81.790001,80.720001,81.0,60.797176,583600
2006-01-19,81.209999,82.650002,81.129997,81.940002,61.502747,775000
2006-01-20,83.400002,84.150002,81.080002,81.160004,60.917282,1095700
2006-01-23,81.349998,82.550003,81.25,82.160004,61.667866,403100
2006-01-24,82.220001,82.790001,81.75,82.010002,61.55529,692200
2006-01-25,82.419998,82.559998,81.330002,81.889999,61.465187,686900
2006-01-26,82.550003,82.709999,81.290001,81.849998,61.435184,773500
2006-01-27,81.849998,81.889999,80.849998,81.739998,61.352612,775500
2006-01-30,81.599998,82.309998,81.080002,81.199997,60.947308,632500
2006-01-31,81.099998,81.400002,80.290001,80.68,60.557011,784200
2006-02-01,80.309998,80.650002,79.75,80.480003,60.406883,1051400
2006-02-02,84.599998,88.190002,84.25,86.370003,64.82782,4870900
2006-02-03,85.68,87.199997,84.809998,86.610001,65.007935,1593700
2006-02-06,86.620003,87.639999,86.099998,87.459999,65.645912,1119800
2006-02-07,87.150002,88.019997,86.610001,86.919998,65.240631,742000
2006-02-08,86.919998,89.75,86.760002,89.75,67.364777,1373700
2006-02-09,88.5,88.959999,87.050003,87.379997,65.585907,1376400
2006-02-10,87.129997,87.300003,85.800003,87.279999,65.510841,730800
2006-02-13,87.290001,87.290001,85.239998,85.830002,64.422493,1131400
2006-02-14,85.830002,88.300003,84.949997,88.07,66.103806,905100
2006-02-15,87.900002,88.349998,87.099998,88.139999,66.156357,570700
2006-02-16,88.139999,89.610001,88.089996,89.300003,67.026993,1058200
2006-02-17,89.449997,89.669998,88.650002,89.199997,66.951958,546700
2006-02-21,89.5,90.199997,88.32,89.389999,67.094559,626400
2006-02-22,89.389999,91.360001,89.389999,91.110001,68.385582,719400
2006-02-23,91.089996,91.919998,90.529999,90.599998,68.002785,891600
2006-02-24,90.5,90.720001,89.480003,90.639999,68.032822,616800
2006-02-27,91.099998,91.790001,90.050003,90.870003,68.205421,818900
2006-02-28,90.779999,90.779999,89.330002,89.790001,67.394798,821800
2006-03-01,89.260002,90.139999,88.989998,89.900002,67.802071,939600
2006-03-02,89.800003,90.110001,89.349998,89.489998,67.492851,860600
2006-03-03,89.489998,90.0,88.459999,89.419998,67.440056,753800
2006-03-06,89.419998,89.599998,88.089996,88.300003,66.59536,1120000
2006-03-07,88.290001,88.290001,85.199997,85.790001,64.702324,1679900
2006-03-08,85.949997,85.949997,84.209999,85.550003,64.521317,1476500
2006-03-09,85.75,86.309998,85.269997,86.309998,65.09449,1300700
2006-03-10,86.309998,86.800003,85.519997,86.0,64.860718,998200
2006-03-13,86.199997,86.529999,85.199997,86.290001,65.079407,708600
2006-03-14,86.290001,88.32,85.400002,88.0,66.369087,1104200
2006-03-15,88.25,89.290001,87.949997,89.019997,67.138374,889500
2006-03-16,89.029999,89.529999,87.25,87.540001,66.022186,1046200
2006-03-17,87.540001,87.540001,84.470001,86.25,65.049263,2488400
2006-03-20,86.349998,88.139999,86.110001,87.599998,66.067429,1250100
2006-03-21,87.5,88.550003,86.599998,86.870003,65.516861,938800
2006-03-22,85.0,88.199997,85.0,87.949997,66.331383,931700
2006-03-23,87.949997,88.220001,87.169998,87.410004,65.924118,833600
2006-03-24,87.459999,87.959999,86.779999,87.720001,66.157913,853200
2006-03-27,88.150002,90.470001,87.610001,90.0,67.87748,1898000
2006-03-28,90.160004,90.209999,88.879997,89.57,67.553185,781800
2006-03-29,89.669998,96.0,88.82,95.949997,72.364929,5611600
2006-03-30,94.75,95.099998,91.029999,91.459999,68.978607,6004500
2006-03-31,91.660004,92.07,90.849998,91.470001,68.986168,2237600
2006-04-03,92.599998,93.449997,91.650002,92.279999,69.597046,2308400
2006-04-04,92.0,92.279999,90.050003,91.739998,69.189781,1683000
2006-04-05,91.57,91.970001,90.919998,91.410004,68.94091,1342000
2006-04-06,91.050003,91.550003,90.25,90.919998,68.571327,1446100
2006-04-07,90.919998,91.300003,90.650002,90.910004,68.563805,1436200
2006-04-10,90.510002,90.800003,90.129997,90.309998,68.111282,879900
2006-04-11,90.400002,91.230003,89.699997,90.220001,68.043404,1270300
2006-04-12,90.209999,92.300003,89.980003,92.089996,69.453751,1446200
2006-04-13,92.0,92.290001,91.220001,91.330002,68.880539,924200
2006-04-17,91.110001,91.300003,90.5,90.790001,68.473328,959100
2006-04-18,90.809998,91.150002,90.099998,90.480003,68.239487,1291800
2006-04-19,90.199997,91.650002,90.07,91.25,68.820221,1043000
2006-04-20,91.0,91.620003,90.599998,90.75,68.443138,978500
2006-04-21,91.330002,91.389999,89.919998,90.050003,67.915176,850300
2006-04-24,90.050003,91.239998,88.739998,90.5,68.25457,1100100
2006-04-25,93.949997,94.120003,90.510002,92.639999,69.868561,1712500
2006-04-26,90.970001,91.419998,89.339996,90.269997,68.081116,1523000
2006-04-27,90.099998,90.660004,89.529999,90.5,68.25457,710800
2006-04-28,90.5,90.5,88.800003,89.75,67.68895,522300
2006-05-01,89.830002,90.279999,88.75,88.949997,67.085579,913600
2006-05-02,89.099998,89.290001,88.379997,89.18,67.259048,691200
2006-05-03,89.599998,91.75,89.540001,91.339996,68.888123,848300
2006-05-04,91.370003,92.849998,91.330002,92.830002,70.011841,776000
2006-05-05,92.900002,92.949997,92.5,92.580002,69.823288,493200
2006-05-08,92.699997,92.900002,92.169998,92.779999,69.974152,494000
2006-05-09,92.449997,93.489998,92.360001,93.089996,70.207954,556500
2006-05-10,93.099998,93.099998,91.970001,92.169998,69.514099,618100
2006-05-11,91.650002,91.980003,90.980003,91.029999,68.654289,599500
2006-05-12,90.699997,90.699997,88.599998,88.779999,66.957382,852600
2006-05-15,87.400002,89.410004,87.0,89.300003,67.349548,1138700
2006-05-16,89.25,89.489998,88.529999,89.0,67.123291,858500
2006-05-17,87.800003,88.550003,87.510002,87.849998,66.577644,1621600
2006-05-18,88.0,88.0,84.669998,84.730003,64.213135,1286600
2006-05-19,85.599998,86.239998,84.839996,85.959999,65.145294,1864300
2006-05-22,85.050003,85.190002,83.309998,84.620003,64.129753,1044800
2006-05-23,84.870003,88.800003,84.639999,88.0,66.691307,1725700
2006-05-24,88.0,88.410004,87.07,87.879997,66.60038,1818900
2006-05-25,86.93,88.68,86.93,88.360001,66.964134,980500
2006-05-26,88.400002,92.290001,88.260002,90.980003,68.949722,1914200
2006-05-30,91.400002,91.400002,87.879997,88.480003,67.055077,1600800
2006-05-31,88.5,90.349998,88.5,89.919998,68.1464,1402300
2006-06-01,89.919998,90.290001,89.019997,90.25,68.396492,1082200
2006-06-02,90.25,90.5,88.620003,89.5,67.828087,1010400
2006-06-05,89.5,89.559998,86.309998,86.629997,65.653061,1461300
2006-06-06,86.629997,86.879997,84.769997,85.389999,64.713318,925300
2006-06-07,85.400002,85.440002,82.389999,82.739998,62.704979,1674200
