Date,Open,High,Low,Close,Adj Close,Volume
2006-01-03,26.805,27.285,26.459999,27.014999,25.286324,1054800
2006-01-04,26.99,27.465,26.855,27.264999,25.520334,809200
2006-01-05,27.155001,27.225,26.805,26.955,25.230164,1080800
2006-01-06,27.115,27.375,26.83,27.375,25.623295,873800
2006-01-09,27.35,27.799999,27.045,27.645,25.876017,989400
2006-01-10,27.5,27.6,27.125,27.41,25.656048,854400
2006-01-11,28.040001,28.24,27.799999,28.040001,26.245733,1632000
2006-01-12,27.92,28.049999,27.705,27.995001,26.203608,854400
2006-01-13,28.129999,28.344999,28.055,28.135,26.334663,782200
2006-01-17,28.1,28.334999,27.885,28.02,26.227009,767400
2006-01-18,28.0,28.365,27.99,28.08,26.283175,651200
2006-01-19,28.049999,28.370001,27.875,28.334999,26.52186,521600
2006-01-20,28.120001,28.32,27.67,27.74,25.964928,746800
2006-01-23,27.700001,27.834999,27.09,27.41,25.656048,835200
2006-01-24,27.379999,27.42,27.055,27.344999,25.595211,525600
2006-01-25,27.24,27.295,26.504999,26.815001,25.099123,1483000
2006-01-26,26.955,27.264999,26.9,26.93,25.206766,898800
2006-01-27,26.860001,27.865,26.860001,27.469999,25.712208,910000
2006-01-30,27.445,27.645,27.049999,27.110001,25.375244,643600
2006-01-31,27.174999,27.174999,26.73,26.85,25.131876,833600
2006-02-01,26.684999,27.0,26.684999,26.815001,25.099123,509400
2006-02-02,26.66,26.879999,26.405001,26.805,25.089767,670000
2006-02-03,26.58,26.639999,26.245001,26.389999,24.701315,1298000
2006-02-06,26.254999,26.385,26.065001,26.290001,24.607718,1930800
2006-02-07,26.235001,26.795,26.23,26.305,24.621761,746200
2006-02-08,26.360001,26.48,26.174999,26.370001,24.682596,1146400
2006-02-09,26.885,27.584999,26.735001,27.280001,25.534367,2168800
2006-02-10,27.120001,27.5,27.08,27.459999,25.702847,1291000
2006-02-13,27.459999,27.610001,27.174999,27.370001,25.618608,821600
2006-02-14,27.26,28.209999,27.08,27.855,26.072577,1668000
2006-02-15,27.795,27.805,27.33,27.59,25.824528,1103200
2006-02-16,27.57,27.915001,27.57,27.725,25.950886,933800
2006-02-17,27.610001,28.004999,27.610001,27.885,26.100651,672400
2006-02-21,27.815001,27.870001,27.145,27.34,25.590528,769800
2006-02-22,27.42,27.75,27.264999,27.51,25.749655,656600
2006-02-23,27.469999,27.58,27.370001,27.48,25.721569,1232400
2006-02-24,27.639999,27.875,27.450001,27.870001,26.086607,786200
2006-02-27,27.965,28.355,27.870001,28.32,26.507816,1341600
2006-02-28,28.18,28.565001,28.18,28.495001,26.671619,1917200
2006-03-01,28.48,28.625,28.129999,28.405001,26.587379,1301800
2006-03-02,28.280001,28.41,27.950001,28.235001,26.428257,1220400
2006-03-03,28.125,28.305,27.915001,28.145,26.344019,1189000
2006-03-06,28.1,28.285,27.799999,28.174999,26.372097,1151600
2006-03-07,28.105,28.235001,27.99,28.07,26.273811,856400
2006-03-08,27.92,28.245001,27.754999,28.049999,26.255096,997200
2006-03-09,27.965,28.200001,27.715,27.834999,26.053848,693600
2006-03-10,27.74,28.225,27.665001,28.014999,26.222338,1008400
2006-03-13,28.014999,28.25,27.99,28.094999,26.297215,526000
